"origin","destination","distance_km"
"Madrid","Madrid",0
"Madrid","Barcelona",591.862864908011
"Madrid","Seville",473.046573299608
"Madrid","Bilbao",369.958948632339
"Madrid","Valencia",340.280006183754
"Madrid","Zaragoza",304.183459022441
"Madrid","Málaga",460.361540114838
"Madrid","Murcia",386.736951805578
"Madrid","Granada‎",396.939662891397
"Madrid","Vigo",581.219343993448
"Vigo","Madrid",581.219343993447
"Vigo","Barcelona",1094.84546525478
"Vigo","Seville",882.656915436184
"Vigo","Bilbao",610.578337446842
"Vigo","Valencia",921.489921029426
"Vigo","Zaragoza",801.629317581791
"Vigo","Málaga",1033.18890734456
"Vigo","Murcia",965.807025737499
"Vigo","Granada‎",969.767030121117
"Vigo","Vigo",0
